person.n.01|causal_agent.n.01 organism.n.01
man.n.01|adult.n.01 male.n.02
woman.n.01|female.n.02 adult.n.01
clothing.n.01|consumer_goods.n.01 covering.n.02
substance.n.01|matter.n.03 part.n.01
water.n.01|liquid.n.03 binary_compound.n.01
wheeled_vehicle.n.01|container.n.01 vehicle.n.01
dog.n.01|canine.n.02 domestic_animal.n.01
elephant.n.01|pachyderm.n.01 proboscidean.n.01
skateboard.n.01|board.n.03 wheeled_vehicle.n.01
letter.n.01|text.n.01 document.n.02
jean.n.01|workwear.n.01 trouser.n.01
house.n.01|building.n.01 dwelling.n.01
cup.n.01|container.n.01 crockery.n.01
brick.n.01|building_material.n.01 ceramic.n.01
disk.n.02|circle.n.08 plate.n.02
frisbee.n.01|disk.n.02 plaything.n.01
finger.n.01|extremity.n.05 digit.n.03
piece_of_cloth.n.01|piece.n.01 fabric.n.01
pot.n.01|vessel.n.03 cooking_utensil.n.01
space.n.02|amorphous_shape.n.01 location.n.01
cheese.n.01|food.n.02 dairy_product.n.01
bread.n.01|baked_goods.n.01 starches.n.01
edible_fruit.n.01|produce.n.01 fruit.n.01
apple.n.01|edible_fruit.n.01 pome.n.01
spoon.n.01|cutlery.n.02 container.n.01
drawer.n.01|container.n.01 storage_space.n.01
curtain.n.01|blind.n.03 furnishing.n.02
ballplayer.n.01|athlete.n.01 player.n.01
sculpture.n.01|plastic_art.n.01 solid_figure.n.01
dish.n.01|container.n.01 crockery.n.01
rug.n.01|floor_cover.n.01 furnishing.n.02
water_faucet.n.01|faucet.n.01 plumbing_fixture.n.01
ski pole|ski_pole.n.01 ski.n.01
paint.n.01|coating.n.01 coloring_material.n.01
blue sky|sky.n.01 blue_sky.n.01
beverage.n.01|liquid.n.01 food.n.01
alcohol.n.01|beverage.n.01 drug_of_abuse.n.01
agent.n.03|causal_agent.n.01 substance.n.07
atmospheric_electricity.n.01|atmospheric_phenomenon.n.01 electrical_discharge.n.01
concrete.n.01|paving.n.01 building_material.n.01
municipality.n.01|urban_area.n.01 administrative_district.n.01
parking lot|batch.n.02 parking_lot.n.01
athletic_game.n.01|game.n.01 sport.n.01
scissors.n.01|compound_lever.n.01 edge_tool.n.01
trash can|ashcan.n.01 rubbish.n.01
pitcher.n.01|thrower.n.02 ballplayer.n.01
tank.n.01|tracked_vehicle.n.01 armored_vehicle.n.01 military_vehicle.n.01
tennis_player.n.01|athlete.n.01 player.n.01
square.n.01|regular_polygon.n.01 rectangle.n.01
